(0,9.41)
(1,9.43)
(2,9.42)
(3,9.40)
(4,9.42)
(5,9.42)
(6,9.41)
(7,9.44)
(8,9.41)
(9,9.41)
(10,9.42)
(11,9.41)
(12,9.41)
(13,9.42)
(14,9.41)
(15,9.42)
(16,9.42)
(17,9.41)
(18,9.41)
(19,9.41)
(20,9.43)
(21,9.39)
(22,9.43)
(23,9.41)
(24,9.42)
(25,9.42)
(26,9.40)
(27,9.44)
(28,9.40)
(29,9.41)
(30,9.42)
(31,9.42)
(32,9.41)
(33,9.42)
(34,9.40)
(35,9.43)
(36,9.41)
(37,9.41)
(38,9.42)
(39,9.40)
(40,9.43)
(41,9.42)
(42,9.41)
(43,9.42)
(44,9.41)
(45,9.41)
(46,9.42)
(47,9.43)
(48,9.38)
(49,9.44)
(50,9.41)
(51,9.41)
(52,9.43)
(53,9.41)
(54,9.41)
(55,9.43)
(56,9.40)
(57,9.43)
(58,9.40)
(59,9.42)
(60,9.42)
(61,9.40)
(62,9.42)
(63,9.42)
(64,9.42)
(65,9.41)
(66,9.41)
(67,9.41)
(68,9.41)
(69,9.43)
(70,9.41)
(71,9.41)
(72,9.45)
(73,9.39)
(74,9.41)
(75,9.42)
(76,9.40)
(77,9.43)
(78,9.40)
(79,9.44)
(80,9.40)
(81,9.42)
(82,9.41)
(83,9.43)
(84,9.41)
(85,9.42)
(86,9.40)
(87,9.43)
(88,9.40)
(89,9.43)
(90,9.42)
(91,9.41)
(92,9.41)
(93,9.43)
(94,9.42)
(95,9.41)
(96,9.41)
(97,9.42)
(98,9.42)
(99,9.41)
(100,9.43)
(101,9.40)
(102,9.43)
(103,9.41)
(104,9.42)
(105,9.42)
(106,9.41)
(107,9.42)
(108,9.40)
(109,9.41)
(110,9.42)
(111,9.42)
(112,9.42)
(113,9.41)
(114,9.41)
(115,9.42)
(116,9.42)
(117,9.40)
(118,9.43)
(119,9.41)
(120,9.41)
(121,9.41)
(122,9.42)
(123,9.41)
(124,9.42)
(125,9.41)
(126,9.42)
(127,9.42)
(128,9.41)
(129,9.43)
(130,9.40)
(131,9.43)
(132,9.39)
(133,9.42)
(134,9.42)
(135,9.42)
(136,9.41)
(137,9.42)
(138,9.41)
(139,9.42)
(140,9.41)
(141,9.41)
(142,9.42)
(143,9.42)
(144,9.42)
(145,9.41)
(146,9.41)
(147,9.41)
(148,9.43)
(149,9.41)
(150,9.42)
(151,9.40)
(152,9.42)
(153,9.42)
(154,9.42)
(155,9.41)
(156,9.42)
(157,9.40)
(158,9.41)
(159,9.42)
(160,9.40)
(161,9.42)
(162,9.42)
(163,9.42)
(164,9.41)
(165,9.41)
(166,9.42)
(167,9.41)
(168,9.42)
(169,9.40)
(170,9.42)
(171,9.42)
(172,9.42)
(173,9.40)
(174,9.42)
(175,9.42)
(176,9.41)
(177,9.42)
(178,9.40)
(179,9.42)
(180,9.41)
(181,9.42)
(182,9.40)
(183,9.44)
(184,9.40)
(185,9.41)
(186,9.43)
(187,9.41)
(188,9.39)
(189,9.43)
(190,9.42)
(191,9.42)
(192,9.40)
(193,9.42)
(194,9.43)
(195,9.41)
(196,9.43)
(197,9.41)
(198,9.41)
(199,9.42)
(200,9.40)
(201,9.43)
(202,9.42)
(203,9.42)
(204,9.42)
(205,9.40)
(206,9.43)
(207,9.40)
(208,9.42)
(209,9.42)
(210,9.41)
(211,9.43)
(212,9.41)
(213,9.40)
(214,9.43)
(215,9.40)
(216,9.41)
(217,9.42)
(218,9.41)
(219,9.41)
(220,9.41)
(221,9.43)
(222,9.41)
(223,9.41)
(224,9.40)
(225,9.42)
(226,9.43)
(227,9.40)
(228,9.42)
(229,9.42)
(230,9.41)
(231,9.42)
(232,9.40)
(233,9.42)
(234,9.41)
(235,9.43)
(236,9.42)
(237,9.39)
(238,9.42)
(239,9.41)
(240,9.41)
(241,9.44)
(242,9.40)
(243,9.42)
(244,9.41)
(245,9.41)
(246,9.44)
(247,9.40)
(248,9.41)
(249,9.42)
(250,9.42)
(251,9.41)
(252,9.43)
(253,9.40)
(254,9.43)
(255,9.40)
(256,9.42)
(257,9.40)
(258,9.42)
(259,9.41)
(260,9.41)
(261,9.43)
(262,9.41)
(263,9.42)
(264,9.42)
(265,9.40)
(266,9.42)
(267,9.43)
(268,9.43)
(269,9.40)
(270,9.42)
(271,9.42)
(272,9.42)
(273,9.40)
(274,9.42)
(275,9.43)
(276,9.40)
(277,9.42)
(278,9.41)
(279,9.42)
(280,9.42)
(281,9.41)
(282,9.42)
(283,9.42)
(284,9.40)
(285,9.41)
(286,9.43)
(287,9.40)
(288,9.43)
(289,9.39)
(290,9.43)
(291,9.43)
(292,9.41)
(293,9.41)
(294,9.42)
(295,9.42)
(296,9.42)
(297,9.42)
(298,9.40)
(299,9.42)
